
2023/06/21 (11:59:12) | ===> btop++ v.1.2.13
2023/06/21 (11:59:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/06/21 (12:17:17) | ===> btop++ v.1.2.13
2023/06/21 (12:17:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/06/21 (12:20:41) | ===> btop++ v.1.2.13
2023/06/21 (12:20:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/06/21 (12:21:15) | ===> btop++ v.1.2.13
2023/06/21 (12:21:15) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/06/21 (12:21:20) | ===> btop++ v.1.2.13
2023/06/21 (12:21:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/06/21 (12:27:28) | ===> btop++ v.1.2.13
2023/06/21 (12:27:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/06/22 (12:15:35) | ===> btop++ v.1.2.13
2023/06/22 (12:15:35) | WARNING: Failed to set locale zh_CN.UTF-8 continuing anyway.

2023/06/22 (12:15:43) | ===> btop++ v.1.2.13
2023/06/22 (12:15:43) | WARNING: Failed to set locale zh_CN.UTF-8 continuing anyway.

2023/06/23 (10:23:37) | ===> btop++ v.1.2.13
2023/06/23 (10:23:37) | WARNING: Failed to set locale zh_CN.UTF-8 continuing anyway.

2023/06/23 (10:23:49) | ===> btop++ v.1.2.13
2023/06/23 (10:23:49) | WARNING: Failed to set locale zh_CN.UTF-8 continuing anyway.

2023/06/24 (23:30:55) | ===> btop++ v.1.2.13
2023/06/24 (23:30:55) | WARNING: Failed to set locale zh_CN.UTF-8 continuing anyway.

2023/06/26 (12:34:52) | ===> btop++ v.1.2.13
2023/06/26 (12:34:52) | WARNING: Failed to set locale zh_CN.UTF-8 continuing anyway.

2024/01/27 (00:08:15) | ===> btop++ v.1.3.0
2024/01/27 (00:08:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/08 (12:46:08) | ===> btop++ v.1.3.2
2024/03/08 (12:46:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/08 (12:46:31) | ===> btop++ v.1.3.2
2024/03/08 (12:46:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/08 (12:46:43) | ===> btop++ v.1.3.2
2024/03/08 (12:46:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/08 (12:46:54) | ===> btop++ v.1.3.2
2024/03/08 (12:46:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (16:18:27) | ===> btop++ v.1.3.2
2024/03/12 (16:18:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (15:59:39) | ===> btop++ v.1.3.2
2024/03/14 (15:59:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (15:59:50) | ===> btop++ v.1.3.2
2024/03/14 (15:59:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/16 (21:30:31) | ===> btop++ v.1.3.2
2024/03/16 (21:30:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (22:16:04) | ===> btop++ v.1.3.2
2024/04/13 (22:16:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/13 (22:16:15) | ===> btop++ v.1.3.2
2024/04/13 (22:16:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/25 (15:42:47) | ===> btop++ v.1.3.2
2024/04/25 (15:42:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/05 (22:12:11) | ===> btop++ v.1.3.2
2024/05/05 (22:12:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (18:52:22) | ===> btop++ v.1.3.2
2024/05/25 (18:52:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (12:38:03) | ===> btop++ v.1.3.2
2024/05/26 (12:38:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (17:34:32) | ===> btop++ v.1.3.2
2024/05/26 (17:34:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (11:28:41) | ===> btop++ v.1.3.2
2024/06/22 (11:28:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (11:34:30) | ===> btop++ v.1.3.2
2024/06/22 (11:34:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/12 (16:45:26) | ===> btop++ v.1.3.2
2024/09/12 (16:45:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

